[2025-06-12T22:27:09.316984] case_001 | Integrity: 89.08%
[2025-06-12T22:27:11.370686] case_002 | Integrity: 89.29%
[2025-06-12T22:27:14.694479] case_003 | Integrity: 89.45%
[2025-06-12T22:27:17.154041] case_004 | Integrity: 88.65%
[2025-06-12T22:27:20.229634] case_005 | Integrity: 88.92%
[2025-06-12T22:27:22.820266] case_006 | Integrity: 87.81%
[2025-06-12T22:27:24.983417] case_007 | Integrity: 88.64%
[2025-06-12T22:27:27.108656] case_008 | Integrity: 88.58%
[2025-06-12T22:27:31.606290] case_009 | Integrity: 88.47%
[2025-06-12T22:27:34.370089] case_010 | Integrity: 88.78%
[2025-06-12T22:27:36.083280] case_011 | Integrity: 89.01%
[2025-06-12T22:27:47.210056] case_012 | Integrity: 90.03%
[2025-06-12T22:27:50.025957] case_013 | Integrity: 88.01%
[2025-06-12T22:27:53.691545] case_014 | Integrity: 88.94%
[2025-06-12T22:27:55.361685] case_015 | Integrity: 88.12%
[2025-06-12T22:28:02.495299] case_016 | Integrity: 89.84%
[2025-06-12T22:28:05.903380] case_017 | Integrity: 88.83%
[2025-06-12T22:28:09.919696] case_018 | Integrity: 89.26%
[2025-06-12T22:28:16.247356] case_019 | Integrity: 89.14%
[2025-06-12T22:28:18.912916] case_020 | Integrity: 88.84%
[2025-06-12T22:28:27.364421] case_021 | Integrity: 89.68%
[2025-06-12T22:28:36.929685] case_022 | Integrity: 89.60%
[2025-06-12T22:28:45.877556] case_023 | Integrity: 89.56%
[2025-06-12T22:28:54.788416] case_024 | Integrity: 89.76%
[2025-06-12T22:29:04.606300] case_025 | Integrity: 89.76%
[2025-06-12T22:29:14.000615] case_026 | Integrity: 89.66%
[2025-06-12T22:29:23.484501] case_027 | Integrity: 89.29%
[2025-06-12T22:29:29.368536] case_028 | Integrity: 88.64%
[2025-06-12T22:29:31.546751] case_029 | Integrity: 88.86%
[2025-06-12T22:29:34.029943] case_030 | Integrity: 88.50%
[2025-06-12T22:29:36.444026] case_031 | Integrity: 88.58%
[2025-06-12T22:29:38.092347] case_032 | Integrity: 88.38%
[2025-06-12T22:29:46.076020] case_033 | Integrity: 90.29%
[2025-06-12T22:29:51.274350] case_034 | Integrity: 88.85%
[2025-06-12T22:29:56.361025] case_035 | Integrity: 89.42%
[2025-06-12T22:30:35.077744] case_036 | Integrity: 90.33%
[2025-06-12T22:31:06.658458] case_037 | Integrity: 90.58%
[2025-06-12T22:31:40.243171] case_038 | Integrity: 90.53%
[2025-06-12T22:31:42.860379] case_039 | Integrity: 89.08%
[2025-06-12T22:31:44.865024] case_040 | Integrity: 88.85%
[2025-06-12T22:31:48.302136] case_041 | Integrity: 89.53%
[2025-06-12T22:31:52.930596] case_042 | Integrity: 88.17%
[2025-06-12T22:31:55.600988] case_043 | Integrity: 88.53%
[2025-06-12T22:31:59.526975] case_044 | Integrity: 88.88%
[2025-06-12T22:32:02.925530] case_045 | Integrity: 88.84%
[2025-06-12T22:32:07.433141] case_046 | Integrity: 89.51%
[2025-06-12T22:32:13.476307] case_047 | Integrity: 89.34%
[2025-06-24T20:07:00.855682] case_001 | Integrity: 91.16%
[2025-06-24T20:07:00.946988] case_002 | Integrity: 91.17%
[2025-06-24T20:07:02.169973] case_003 | Integrity: 97.03%
[2025-06-24T20:07:03.532957] case_004 | Integrity: 97.05%
[2025-06-24T20:07:04.475979] case_005 | Integrity: 96.98%
[2025-06-24T20:07:05.235016] case_006 | Integrity: 96.94%
[2025-06-24T20:07:06.071067] case_007 | Integrity: 96.92%
[2025-06-24T20:07:07.943028] case_008 | Integrity: 97.13%
[2025-06-24T20:07:09.026910] case_009 | Integrity: 96.93%
[2025-06-24T20:07:10.038452] case_010 | Integrity: 97.03%
[2025-06-24T20:07:11.120074] case_011 | Integrity: 97.09%
[2025-06-24T20:07:12.510377] case_012 | Integrity: 97.03%
[2025-06-24T20:07:13.893371] case_013 | Integrity: 96.96%
[2025-06-24T20:07:15.009722] case_014 | Integrity: 96.84%
[2025-06-24T20:07:16.123061] case_015 | Integrity: 97.04%
[2025-06-24T20:07:17.048327] case_016 | Integrity: 97.01%
[2025-06-24T20:07:18.017626] case_017 | Integrity: 97.02%
[2025-06-24T20:07:21.189073] case_018 | Integrity: 97.12%
[2025-06-24T20:07:22.169500] case_019 | Integrity: 96.99%
[2025-06-24T20:07:24.229103] case_020 | Integrity: 96.83%
[2025-06-24T20:07:26.723648] case_021 | Integrity: 96.95%
[2025-06-24T20:07:28.698411] case_022 | Integrity: 96.88%
[2025-06-24T20:07:29.522760] case_023 | Integrity: 96.82%
[2025-06-24T20:07:30.394950] case_024 | Integrity: 96.95%
[2025-06-24T20:07:32.178313] case_025 | Integrity: 97.06%
[2025-06-24T20:07:33.220330] case_026 | Integrity: 96.77%
[2025-06-24T20:07:34.385336] case_027 | Integrity: 96.89%
[2025-06-24T20:07:36.081266] case_028 | Integrity: 96.60%
[2025-06-24T20:07:38.073049] case_029 | Integrity: 97.03%
[2025-06-24T20:07:38.744631] case_030 | Integrity: 96.93%
[2025-06-24T20:07:39.501342] case_031 | Integrity: 96.90%
[2025-06-24T20:07:40.162384] case_032 | Integrity: 96.88%
[2025-06-24T20:07:40.210699] case_033 | Integrity: 91.17%
[2025-06-24T20:07:40.320874] case_034 | Integrity: 91.16%
[2025-06-24T20:07:40.417309] case_035 | Integrity: 91.17%
[2025-06-24T20:10:54.087154] case_001 | Integrity: 97.42%
[2025-06-24T20:10:55.471834] case_002 | Integrity: 97.03%
[2025-06-24T20:10:57.084911] case_003 | Integrity: 97.05%
[2025-06-24T20:10:58.226025] case_004 | Integrity: 96.98%
[2025-06-24T20:10:59.104786] case_005 | Integrity: 96.94%
[2025-06-24T20:11:00.071570] case_006 | Integrity: 96.92%
[2025-06-24T20:11:00.995352] case_007 | Integrity: 96.92%
[2025-06-24T20:11:03.044179] case_008 | Integrity: 97.13%
[2025-06-24T20:11:04.305004] case_009 | Integrity: 96.93%
[2025-06-24T20:11:05.503766] case_010 | Integrity: 96.93%
[2025-06-24T20:11:06.596653] case_011 | Integrity: 97.03%
[2025-06-24T20:11:07.853679] case_012 | Integrity: 97.04%
[2025-06-24T20:11:09.052799] case_013 | Integrity: 97.09%
[2025-06-24T20:11:10.248467] case_014 | Integrity: 97.09%
[2025-06-24T20:11:11.884052] case_015 | Integrity: 97.03%
[2025-06-24T20:11:13.459023] case_016 | Integrity: 96.96%
[2025-06-24T20:11:14.660515] case_017 | Integrity: 96.85%
[2025-06-24T20:11:15.967239] case_018 | Integrity: 96.84%
[2025-06-24T20:11:17.796194] case_019 | Integrity: 96.97%
[2025-06-24T20:11:19.136314] case_020 | Integrity: 97.04%
[2025-06-24T20:11:20.263612] case_021 | Integrity: 97.01%
[2025-06-24T20:11:21.414384] case_022 | Integrity: 97.02%
[2025-06-24T20:11:22.769427] case_023 | Integrity: 96.96%
[2025-06-24T20:11:26.429577] case_024 | Integrity: 97.12%
[2025-06-24T20:11:27.567115] case_025 | Integrity: 96.99%
[2025-06-24T20:11:28.753530] case_026 | Integrity: 97.38%
[2025-06-24T20:11:31.257481] case_027 | Integrity: 96.83%
[2025-06-24T20:11:34.208658] case_028 | Integrity: 96.95%
[2025-06-24T20:11:36.529200] case_029 | Integrity: 96.88%
[2025-06-24T20:11:37.905555] case_030 | Integrity: 97.26%
[2025-06-24T20:11:38.887003] case_031 | Integrity: 96.82%
[2025-06-24T20:11:39.975985] case_032 | Integrity: 96.95%
[2025-06-24T20:11:42.100074] case_033 | Integrity: 97.06%
[2025-06-24T20:11:44.152914] case_034 | Integrity: 97.10%
[2025-06-24T20:11:45.286399] case_035 | Integrity: 96.77%
